"","plotid","species","year","live_count","live_avg_dbh","live_tot_dbh","dead_count","dead_avg_dbh","dead_tot_dbh","all_live_count","all_live_dbh","rel_dens","rel_dom","imp_value"
"29","ann02","umca",2012,1,10.6,10.6,NA,NA,NA,2,32.2,0.5,0.329192546583851,0.414596273291925
"30","ann02","umca",2014,1,10.8,10.8,NA,NA,NA,10,272.2,0.1,0.0396767083027186,0.0698383541513593
"31","ann03","umca",2004,15,8.84,132.6,NA,NA,NA,15,132.6,1,1,1
"32","ann03","umca",2005,15,NA,NA,NA,NA,NA,18,154.1,0.833333333333333,NA,NA
"33","ann03","umca",2006,15,NA,NA,1,NA,NA,15,0,1,NA,NA
"34","ann03","umca",2007,13,NA,NA,3,NA,NA,13,0,1,NA,NA
"35","ann03","umca",2008,12,NA,NA,3,NA,NA,12,0,1,NA,NA
"36","ann03","umca",2009,16,NA,NA,NA,NA,NA,16,0,1,NA,NA
"37","ann03","umca",2010,25,NA,NA,1,NA,NA,25,0,1,NA,NA
"38","ann03","umca",2011,25,NA,NA,1,NA,NA,25,0,1,NA,NA
"39","ann03","umca",2012,28,6.04285714285714,169.2,NA,NA,NA,28,169.2,1,1,1
"40","ann03","umca",2014,25,6.572,164.3,2,3.5,7,28,243.2,0.892857142857143,0.675575657894737,0.78421640037594
"41","ann04","quke",2003,1,60,60,NA,NA,NA,1,60,1,1,1
"42","ann04","quke",2004,3,26,78,NA,NA,NA,10,143.25,0.3,0.544502617801047,0.422251308900524
"43","ann04","quke",2005,2,NA,NA,2,NA,NA,18,231.37,0.111111111111111,NA,NA
"44","ann04","quke",2006,2,NA,NA,2,NA,NA,9,0,0.222222222222222,NA,NA
"45","ann04","quke",2007,2,NA,NA,2,NA,NA,9,0,0.222222222222222,NA,NA
"46","ann04","quke",2008,2,NA,NA,2,NA,NA,9,0,0.222222222222222,NA,NA
"47","ann04","quke",2009,2,NA,NA,2,NA,NA,9,0,0.222222222222222,NA,NA
"48","ann04","quke",2010,2,NA,NA,2,NA,NA,9,0,0.222222222222222,NA,NA
"49","ann04","quke",2011,1,NA,NA,3,NA,NA,8,0,0.125,NA,NA
"50","ann04","quke",2012,3,41.1,123.3,2,NA,NA,10,196.1,0.3,0.628760836308006,0.464380418154003
"51","ann04","quke",2014,2,44.85,89.7,3,21.7,65.1,13,351.1,0.153846153846154,0.255482768442039,0.204664461144097
"52","ann04","umca",2004,7,9.32142857142857,65.25,NA,NA,NA,10,143.25,0.7,0.455497382198953,0.577748691099476
"53","ann04","umca",2005,7,NA,NA,NA,NA,NA,18,231.37,0.388888888888889,NA,NA
"54","ann04","umca",2006,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"55","ann04","umca",2007,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"56","ann04","umca",2008,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"57","ann04","umca",2009,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"58","ann04","umca",2010,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"59","ann04","umca",2011,7,NA,NA,NA,NA,NA,8,0,0.875,NA,NA
"60","ann04","umca",2012,7,10.4,72.8,NA,NA,NA,10,196.1,0.7,0.371239163691994,0.535619581845997
"61","ann04","umca",2014,7,10.6,74.2,NA,NA,NA,13,351.1,0.538461538461538,0.211335801765879,0.374898670113709
"62","ann05","quke",2003,3,NA,NA,1,NA,NA,15,0,0.2,NA,NA
"63","ann05","quke",2005,3,NA,NA,1,25.1,25.1,38,683.94,0.0789473684210526,NA,NA
"64","ann05","quke",2006,3,NA,NA,1,NA,NA,15,0,0.2,NA,NA
"65","ann05","quke",2007,3,NA,NA,1,NA,NA,3,0,1,NA,NA
"66","ann05","quke",2008,3,NA,NA,1,NA,NA,15,0,0.2,NA,NA
"67","ann05","quke",2009,2,NA,NA,2,NA,NA,14,0,0.142857142857143,NA,NA
"68","ann05","quke",2010,2,NA,NA,2,NA,NA,14,0,0.142857142857143,NA,NA
"69","ann05","quke",2011,2,NA,NA,2,NA,NA,14,0,0.142857142857143,NA,NA
"70","ann05","quke",2012,2,41.5,83,2,NA,NA,14,201.5,0.142857142857143,0.411910669975186,0.277383906416165
"71","ann05","quke",2014,2,39.95,79.9,2,21.45,42.9,38,833.9,0.0526315789473684,0.0958148459047848,0.0742232124260766
"72","ann05","umca",2003,12,NA,NA,NA,NA,NA,15,0,0.8,NA,NA
"73","ann05","umca",2004,12,8.69166666666667,104.3,NA,NA,NA,12,104.3,1,1,1
"74","ann05","umca",2005,12,NA,NA,NA,NA,NA,38,683.94,0.315789473684211,NA,NA
"75","ann05","umca",2006,12,NA,NA,NA,NA,NA,15,0,0.8,NA,NA
"76","ann05","umca",2008,12,NA,NA,NA,NA,NA,15,0,0.8,NA,NA
"77","ann05","umca",2009,12,NA,NA,NA,NA,NA,14,0,0.857142857142857,NA,NA
"78","ann05","umca",2010,12,NA,NA,NA,NA,NA,14,0,0.857142857142857,NA,NA
"79","ann05","umca",2011,12,NA,NA,NA,NA,NA,14,0,0.857142857142857,NA,NA
"80","ann05","umca",2012,12,9.875,118.5,NA,NA,NA,14,201.5,0.857142857142857,0.588089330024814,0.722616093583835
"81","ann05","umca",2014,12,10.1916666666667,122.3,NA,NA,NA,38,833.9,0.315789473684211,0.146660271015709,0.23122487234996
"82","ann06","quag",2003,1,NA,NA,NA,NA,NA,1,0,1,NA,NA
"83","ann06","quag",2005,1,5.8,5.8,NA,NA,NA,12,147.6,0.0833333333333333,0.0392953929539295,0.0613143631436314
"84","ann06","quag",2006,1,NA,NA,NA,NA,NA,7,0,0.142857142857143,NA,NA
"85","ann06","quag",2007,1,NA,NA,NA,NA,NA,7,0,0.142857142857143,NA,NA
"86","ann06","quag",2008,1,NA,NA,NA,NA,NA,7,0,0.142857142857143,NA,NA
"87","ann06","quag",2009,1,NA,NA,NA,NA,NA,7,0,0.142857142857143,NA,NA
"88","ann06","quag",2010,1,NA,NA,NA,NA,NA,7,0,0.142857142857143,NA,NA
"89","ann06","quag",2011,1,NA,NA,NA,NA,NA,7,0,0.142857142857143,NA,NA
"90","ann06","quag",2012,1,8.8,8.8,NA,NA,NA,7,82.1,0.142857142857143,0.107186358099878,0.125021750478511
"91","ann06","quag",2014,1,9.2,9.2,NA,NA,NA,15,242.6,0.0666666666666667,0.0379225061830173,0.052294586424842
"92","ann06","umca",2004,5,12.96,64.8,NA,NA,NA,5,64.8,1,1,1
"93","ann06","umca",2005,5,NA,NA,NA,NA,NA,12,147.6,0.416666666666667,NA,NA
"94","ann06","umca",2006,6,NA,NA,NA,NA,NA,7,0,0.857142857142857,NA,NA
"95","ann06","umca",2007,6,NA,NA,NA,NA,NA,7,0,0.857142857142857,NA,NA
"96","ann06","umca",2008,6,NA,NA,NA,NA,NA,7,0,0.857142857142857,NA,NA
"97","ann06","umca",2009,6,NA,NA,NA,NA,NA,7,0,0.857142857142857,NA,NA
"98","ann06","umca",2010,6,NA,NA,NA,NA,NA,7,0,0.857142857142857,NA,NA
"99","ann06","umca",2011,6,NA,NA,NA,NA,NA,7,0,0.857142857142857,NA,NA
"100","ann06","umca",2012,6,12.2166666666667,73.3,NA,NA,NA,7,82.1,0.857142857142857,0.892813641900122,0.87497824952149
"101","ann06","umca",2014,6,12.8,76.8,NA,NA,NA,15,242.6,0.4,0.316570486397362,0.358285243198681
"102","ann07","quag",2003,13,NA,NA,NA,NA,NA,13,0,1,NA,NA
"103","ann07","quag",2005,13,19.3692307692308,251.8,NA,NA,NA,21,296.3,0.619047619047619,0.849814377320284,0.734430998183951
"104","ann07","quag",2006,13,NA,NA,NA,NA,NA,16,0,0.8125,NA,NA
"105","ann07","quag",2007,13,NA,NA,NA,NA,NA,16,0,0.8125,NA,NA
"106","ann07","quag",2008,12,NA,NA,1,NA,NA,15,0,0.8,NA,NA
"107","ann07","quag",2009,13,NA,NA,NA,NA,NA,16,0,0.8125,NA,NA
"108","ann07","quag",2010,12,NA,NA,1,NA,NA,15,0,0.8,NA,NA
"109","ann07","quag",2011,12,NA,NA,1,NA,NA,15,0,0.8,NA,NA
"110","ann07","quag",2012,12,20.8833333333333,250.6,1,15.6,15.6,15,290.9,0.8,0.861464420763149,0.830732210381574
"111","ann07","quag",2014,13,20.7307692307692,269.5,NA,NA,NA,18,325.1,0.722222222222222,0.828975699784682,0.775598961003452
"112","ann07","umca",2004,3,12.3,36.9,NA,NA,NA,3,36.9,1,1,1
"113","ann07","umca",2005,3,NA,NA,NA,NA,NA,21,296.3,0.142857142857143,NA,NA
"114","ann07","umca",2006,3,NA,NA,NA,NA,NA,16,0,0.1875,NA,NA
"115","ann07","umca",2007,3,NA,NA,NA,NA,NA,16,0,0.1875,NA,NA
"116","ann07","umca",2008,3,NA,NA,NA,NA,NA,15,0,0.2,NA,NA
"117","ann07","umca",2009,3,NA,NA,NA,NA,NA,16,0,0.1875,NA,NA
"118","ann07","umca",2010,3,NA,NA,NA,NA,NA,15,0,0.2,NA,NA
"119","ann07","umca",2011,3,NA,NA,NA,NA,NA,15,0,0.2,NA,NA
"120","ann07","umca",2012,3,13.4333333333333,40.3,NA,NA,NA,15,290.9,0.2,0.138535579236851,0.169267789618426
"121","ann07","umca",2014,3,13.8,41.4,NA,NA,NA,18,325.1,0.166666666666667,0.127345432174715,0.147006049420691
"122","ann08","umca",2004,3,15.3666666666667,46.1,NA,NA,NA,3,46.1,1,1,1
"123","ann08","umca",2005,3,NA,NA,NA,NA,NA,10,150.6,0.3,NA,NA
"124","ann08","umca",2006,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"125","ann08","umca",2007,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"126","ann08","umca",2008,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"127","ann08","umca",2009,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"128","ann08","umca",2010,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"129","ann08","umca",2011,4,NA,NA,NA,NA,NA,4,0,1,NA,NA
"130","ann08","umca",2012,5,14.42,72.1,NA,NA,NA,5,72.1,1,1,1
"131","ann08","umca",2014,5,14.6,73,NA,NA,NA,11,214.5,0.454545454545455,0.34032634032634,0.397435897435897
"132","ann09","quag",2003,3,NA,NA,NA,NA,NA,5,0,0.6,NA,NA
"133","ann09","quag",2005,3,15.7,47.1,NA,NA,NA,8,151.8,0.375,0.310276679841897,0.342638339920949
"134","ann09","quag",2006,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"135","ann09","quag",2007,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"136","ann09","quag",2008,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"137","ann09","quag",2009,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"138","ann09","quag",2010,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"139","ann09","quag",2011,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"140","ann09","quag",2012,2,16.95,33.9,1,11.2,11.2,8,200.2,0.25,0.169330669330669,0.209665334665335
"141","ann09","quag",2014,2,14,28,2,9.95,19.9,8,197.1,0.25,0.142059868087265,0.196029934043633
"142","ann09","quke",2003,2,NA,NA,NA,NA,NA,5,0,0.4,NA,NA
"143","ann09","quke",2005,2,33.05,66.1,NA,NA,NA,8,151.8,0.25,0.435441370223979,0.342720685111989
"144","ann09","quke",2006,2,NA,NA,NA,NA,NA,7,0,0.285714285714286,NA,NA
"145","ann09","quke",2007,2,NA,NA,NA,NA,NA,7,0,0.285714285714286,NA,NA
"146","ann09","quke",2008,2,NA,NA,NA,NA,NA,7,0,0.285714285714286,NA,NA
"147","ann09","quke",2009,2,NA,NA,NA,NA,NA,7,0,0.285714285714286,NA,NA
"148","ann09","quke",2010,2,NA,NA,NA,NA,NA,7,0,0.285714285714286,NA,NA
"149","ann09","quke",2011,2,NA,NA,1,NA,NA,7,0,0.285714285714286,NA,NA
"150","ann09","quke",2012,3,36,108,NA,NA,NA,8,200.2,0.375,0.53946053946054,0.45723026973027
"151","ann09","quke",2014,3,36.4333333333333,109.3,NA,NA,NA,8,197.1,0.375,0.554540842212075,0.464770421106038
"152","ann09","umca",2004,2,20,40,NA,NA,NA,2,40,1,1,1
"153","ann09","umca",2005,2,NA,NA,NA,NA,NA,8,151.8,0.25,NA,NA
"154","ann09","umca",2006,3,NA,NA,NA,NA,NA,7,0,0.428571428571429,NA,NA
"155","ann09","umca",2007,3,NA,NA,NA,NA,NA,7,0,0.428571428571429,NA,NA
"156","ann09","umca",2008,3,NA,NA,NA,NA,NA,7,0,0.428571428571429,NA,NA
"157","ann09","umca",2009,3,NA,NA,NA,NA,NA,7,0,0.428571428571429,NA,NA
"158","ann09","umca",2010,3,NA,NA,NA,NA,NA,7,0,0.428571428571429,NA,NA
"159","ann09","umca",2011,3,NA,NA,NA,NA,NA,7,0,0.428571428571429,NA,NA
"160","ann09","umca",2012,3,19.4333333333333,58.3,NA,NA,NA,8,200.2,0.375,0.291208791208791,0.333104395604396
"161","ann09","umca",2014,3,19.9333333333333,59.8,NA,NA,NA,8,197.1,0.375,0.30339928970066,0.33919964485033
"162","ann10","quag",2003,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"163","ann10","quag",2005,6,7.88333333333333,47.3,NA,NA,NA,16,180.2,0.375,0.262486126526082,0.318743063263041
"164","ann10","quag",2006,6,NA,NA,NA,NA,NA,8,0,0.75,NA,NA
"165","ann10","quag",2007,6,NA,NA,NA,NA,NA,8,0,0.75,NA,NA
"166","ann10","quag",2008,6,NA,NA,NA,NA,NA,8,0,0.75,NA,NA
"167","ann10","quag",2009,6,NA,NA,NA,NA,NA,8,0,0.75,NA,NA
"168","ann10","quag",2010,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"169","ann10","quag",2011,7,NA,NA,NA,NA,NA,9,0,0.777777777777778,NA,NA
"170","ann10","quag",2012,7,13,91,NA,NA,NA,9,126.3,0.777777777777778,0.720506730007918,0.749142253892848
"171","ann10","quag",2014,8,13.5875,108.7,NA,NA,NA,12,161.9,0.666666666666667,0.671402100061766,0.669034383364217
"172","ann10","umca",2004,2,13.35,26.7,NA,NA,NA,2,26.7,1,1,1
"173","ann10","umca",2005,2,NA,NA,NA,NA,NA,16,180.2,0.125,NA,NA
"174","ann10","umca",2006,2,NA,NA,NA,NA,NA,8,0,0.25,NA,NA
"175","ann10","umca",2007,2,NA,NA,NA,NA,NA,8,0,0.25,NA,NA
"176","ann10","umca",2008,2,NA,NA,NA,NA,NA,8,0,0.25,NA,NA
"177","ann10","umca",2009,2,NA,NA,NA,NA,NA,8,0,0.25,NA,NA
"178","ann10","umca",2010,2,NA,NA,NA,NA,NA,9,0,0.222222222222222,NA,NA
"179","ann10","umca",2011,2,NA,NA,NA,NA,NA,9,0,0.222222222222222,NA,NA
"180","ann10","umca",2012,2,17.65,35.3,NA,NA,NA,9,126.3,0.222222222222222,0.279493269992082,0.250857746107152
"181","ann10","umca",2014,2,19,38,NA,NA,NA,12,161.9,0.166666666666667,0.234712785670167,0.200689726168417
"182","ann11","quag",2003,1,NA,NA,NA,NA,NA,1,0,1,NA,NA
"183","ann11","quag",2005,1,20.5,20.5,NA,NA,NA,25,286.5,0.04,0.0715532286212914,0.0557766143106457
"184","ann11","quag",2006,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"185","ann11","quag",2007,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"186","ann11","quag",2008,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"187","ann11","quag",2009,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"188","ann11","quag",2010,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"189","ann11","quag",2011,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"190","ann11","quag",2012,2,14.5,29,NA,NA,NA,2,29,1,1,1
"191","ann11","quag",2014,1,22.9,22.9,1,6.4,6.4,22,279.4,0.0454545454545455,0.0819613457408733,0.0637079455977094
"192","ann12","umca",2004,6,11.5,69,NA,NA,NA,6,69,1,1,1
"193","ann12","umca",2005,6,NA,NA,NA,NA,NA,15,355.84,0.4,NA,NA
"194","ann12","umca",2006,6,NA,NA,NA,NA,NA,6,0,1,NA,NA
"195","ann12","umca",2007,8,NA,NA,NA,NA,NA,8,0,1,NA,NA
"196","ann12","umca",2008,8,NA,NA,NA,NA,NA,8,0,1,NA,NA
"197","ann12","umca",2009,8,NA,NA,NA,NA,NA,8,0,1,NA,NA
"198","ann12","umca",2010,9,NA,NA,NA,NA,NA,9,0,1,NA,NA
"199","ann12","umca",2011,9,NA,NA,NA,NA,NA,9,0,1,NA,NA
"200","ann12","umca",2012,9,8.74444444444444,78.7,NA,NA,NA,9,78.7,1,1,1
"201","ann12","umca",2014,9,8.73333333333333,78.6,NA,NA,NA,16,354.7,0.5625,0.221595714688469,0.392047857344235
"202","ann13","umca",2004,2,15.15,30.3,NA,NA,NA,2,30.3,1,1,1
"203","ann13","umca",2005,2,NA,NA,NA,NA,NA,10,248.87,0.2,NA,NA
"204","ann13","umca",2006,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"205","ann13","umca",2007,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"206","ann13","umca",2008,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"207","ann13","umca",2009,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"208","ann13","umca",2010,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"209","ann13","umca",2011,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"210","ann13","umca",2012,2,15.25,30.5,NA,NA,NA,2,30.5,1,1,1
"211","ann13","umca",2014,2,15.25,30.5,NA,NA,NA,8,239.6,0.25,0.127295492487479,0.18864774624374
"212","ann14","quag",2004,1,17.4,17.4,NA,NA,NA,2,29.9,0.5,0.581939799331104,0.540969899665552
"213","ann14","quag",2005,1,NA,NA,NA,NA,NA,7,159.76,0.142857142857143,NA,NA
"214","ann14","quag",2006,1,NA,NA,NA,NA,NA,3,0,0.333333333333333,NA,NA
"215","ann14","quag",2007,1,NA,NA,NA,NA,NA,3,0,0.333333333333333,NA,NA
"216","ann14","quag",2008,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"217","ann14","quag",2009,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"218","ann14","quag",2010,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"219","ann14","quag",2011,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"220","ann14","quag",2012,1,19,19,NA,NA,NA,2,29.7,0.5,0.63973063973064,0.56986531986532
"221","ann14","quag",2014,1,18.7,18.7,NA,NA,NA,8,198.6,0.125,0.094159113796576,0.109579556898288
"222","ann14","umca",2004,1,12.5,12.5,NA,NA,NA,2,29.9,0.5,0.418060200668896,0.459030100334448
"223","ann14","umca",2005,1,NA,NA,NA,NA,NA,7,159.76,0.142857142857143,NA,NA
"224","ann14","umca",2006,2,NA,NA,NA,NA,NA,3,0,0.666666666666667,NA,NA
"225","ann14","umca",2007,2,NA,NA,NA,NA,NA,3,0,0.666666666666667,NA,NA
"226","ann14","umca",2008,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"227","ann14","umca",2009,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"228","ann14","umca",2010,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"229","ann14","umca",2011,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"230","ann14","umca",2012,1,10.7,10.7,1,0,0,2,29.7,0.5,0.36026936026936,0.43013468013468
"231","ann14","umca",2014,1,10.8,10.8,1,10.7,10.7,8,198.6,0.125,0.054380664652568,0.089690332326284
"232","ann15","quwi",2004,8,5.2625,42.1,2,5.45,10.9,24,183.1,0.333333333333333,0.22992900054615,0.281631166939741
"233","ann15","quwi",2006,4,NA,NA,6,NA,NA,20,0,0.2,NA,NA
"234","ann15","quwi",2014,6,5.65,33.9,3,7.1,21.3,39,427.5,0.153846153846154,0.0792982456140351,0.116572199730094
"235","ann15","umca",2004,16,8.8125,141,NA,NA,NA,24,183.1,0.666666666666667,0.77007099945385,0.718368833060258
"236","ann15","umca",2005,16,NA,NA,NA,NA,NA,36,250.07,0.444444444444444,NA,NA
"237","ann15","umca",2006,16,NA,NA,NA,NA,NA,20,0,0.8,NA,NA
"238","ann15","umca",2007,16,NA,NA,NA,NA,NA,16,0,1,NA,NA
"239","ann15","umca",2008,16,NA,NA,NA,NA,NA,16,0,1,NA,NA
"240","ann15","umca",2009,16,NA,NA,NA,NA,NA,16,0,1,NA,NA
"241","ann15","umca",2010,16,NA,NA,NA,NA,NA,16,0,1,NA,NA
"242","ann15","umca",2011,16,NA,NA,NA,NA,NA,16,0,1,NA,NA
"243","ann15","umca",2012,16,9.0125,144.2,NA,NA,NA,16,144.2,1,1,1
"244","ann15","umca",2014,16,9.1625,146.6,NA,NA,NA,39,427.5,0.41025641025641,0.342923976608187,0.376590193432299
"245","ann17","quke",2003,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"246","ann17","quke",2005,2,27.1,54.2,NA,NA,NA,12,343,0.166666666666667,0.15801749271137,0.162342079689018
"247","ann17","quke",2006,2,NA,NA,NA,NA,NA,3,0,0.666666666666667,NA,NA
"248","ann17","quke",2007,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"249","ann17","quke",2008,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"250","ann17","quke",2009,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"251","ann17","quke",2010,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"252","ann17","quke",2011,1,NA,NA,1,NA,NA,2,0,0.5,NA,NA
"253","ann17","quke",2012,1,29.5,29.5,1,24,24,2,47,0.5,0.627659574468085,0.563829787234043
"254","ann17","quke",2014,1,30.8,30.8,1,26.8,26.8,10,328.3,0.1,0.093816631130064,0.096908315565032
"255","ann17","umca",2004,1,14.7,14.7,NA,NA,NA,1,14.7,1,1,1
"256","ann17","umca",2005,1,NA,NA,NA,NA,NA,12,343,0.0833333333333333,NA,NA
"257","ann17","umca",2006,1,NA,NA,NA,NA,NA,3,0,0.333333333333333,NA,NA
"258","ann17","umca",2007,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"259","ann17","umca",2008,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"260","ann17","umca",2009,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"261","ann17","umca",2010,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"262","ann17","umca",2011,1,NA,NA,NA,NA,NA,2,0,0.5,NA,NA
"263","ann17","umca",2012,1,17.5,17.5,NA,NA,NA,2,47,0.5,0.372340425531915,0.436170212765957
"264","ann17","umca",2014,1,16.8,16.8,NA,NA,NA,10,328.3,0.1,0.0511727078891258,0.0755863539445629
"265","ann18","quke",2003,1,NA,NA,NA,NA,NA,1,0,1,NA,NA
"266","ann18","quke",2005,1,26.4,26.4,NA,NA,NA,12,341,0.0833333333333333,0.0774193548387097,0.0803763440860215
"267","ann18","quke",2006,1,NA,NA,NA,NA,NA,3,0,0.333333333333333,NA,NA
"268","ann18","umca",2004,2,12.4,24.8,NA,NA,NA,2,24.8,1,1,1
"269","ann18","umca",2005,2,NA,NA,NA,NA,NA,12,341,0.166666666666667,NA,NA
"270","ann18","umca",2006,2,NA,NA,NA,NA,NA,3,0,0.666666666666667,NA,NA
"271","ann18","umca",2007,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"272","ann18","umca",2008,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"273","ann18","umca",2009,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"274","ann18","umca",2010,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"275","ann18","umca",2011,2,NA,NA,NA,NA,NA,2,0,1,NA,NA
"276","ann18","umca",2012,2,13.4,26.8,NA,NA,NA,2,26.8,1,1,1
"277","ann18","umca",2014,2,13.4,26.8,NA,NA,NA,12,385.5,0.166666666666667,0.0695201037613489,0.118093385214008
"278","ann19","quke",2003,1,NA,NA,NA,NA,NA,1,0,1,NA,NA
"279","ann19","quke",2005,1,28,28,NA,NA,NA,4,28,0.25,1,0.625
"280","ann19","quke",2006,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"281","ann19","quke",2007,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"282","ann19","quke",2008,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"283","ann19","quke",2009,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"284","ann19","quke",2010,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"285","ann19","quke",2011,1,NA,NA,NA,NA,NA,4,0,0.25,NA,NA
"286","ann19","quke",2012,1,30.4,30.4,NA,NA,NA,4,111.6,0.25,0.272401433691756,0.261200716845878
