"","plot","tag","dbh1","year_dbh1","dbh2","year_dbh2","delta_dbh"
"110","ANN05","1258",31.2,2005,33.6,2014,2.4
"111","ANN05","1256",26,2005,25.9,2014,-0.100000000000001
"112","ANN05","262",7.5,2004,9.4,2014,1.9
"113","ANN05","3176",6.5,2004,8.6,2014,2.1
"114","ANN05","1903",6.3,2005,10.5,2014,4.2
"115","ANN05","568",3.8,2004,6.2,2014,2.4
"116","ANN05","536",12.75,2004,16,2014,3.25
"117","ANN05","691",5.5,2004,6.7,2014,1.2
"118","ANN05","630",11.75,2004,12.9,2014,1.15
"119","ANN05","652",12.25,2004,14.3,2014,2.05
"120","ANN05","662",11.75,2004,13,2014,1.25
"121","ANN05","347",8,2004,9,2014,1
"122","ANN05","1259",55.3,2003,46.3,2014,-9
"123","ANN05","694",7.75,2004,7.1,2014,-0.65
"124","ANN06","106",13.9,2004,16,2014,2.1
"125","ANN06","6100",10.7,2005,12.1,2014,1.4
"126","ANN06","1123",5.8,2005,9.2,2014,3.4
"127","ANN06","5208",6.5,2012,6.9,2014,0.4
"128","ANN06","3055",8.5,2004,9.6,2014,1.1
"129","ANN06","3059",9.4,2004,10.1,2014,0.699999999999999
"130","ANN06","3054",23.7,2004,25.6,2014,1.9
"131","ANN06","3060",7.6,2004,7.7,2014,0.100000000000001
"132","ANN06","3056",14.4,2004,15.7,2014,1.3
"133","ANN06","3058",9.8,2004,10.6,2014,0.799999999999999
"134","ANN06","3057",8.4,2004,8.4,2014,0
"135","ANN07","1149",18.1,2005,18.5,2014,0.399999999999999
"136","ANN07","1150",18.4,2005,23,2014,4.6
"137","ANN07","1147",27.5,2005,29.3,2014,1.8
"138","ANN07","1146",13.2,2005,13.7,2014,0.5
"139","ANN07","1145",22.8,2005,23,2014,0.199999999999999
"140","ANN07","1144",28.6,2005,31.4,2014,2.8
"141","ANN07","1143",13.7,2005,14.2,2014,0.5
"142","ANN07","1151",16.7,2005,22.2,2014,5.5
"143","ANN07","1142",23.4,2005,24.9,2014,1.5
"144","ANN07","1141",16.8,2005,19,2014,2.2
"145","ANN07","1493",17.1,2005,13.2,2014,-3.9
"146","ANN07","1148",17.1,2005,18.7,2014,1.6
"147","ANN07","3068",4.6,2004,5.5,2014,0.9
"148","ANN07","3066",20.4,2004,21.2,2014,0.800000000000001
"149","ANN07","3067",11.9,2004,14.7,2014,2.8
"150","ANN07","1140",18.4,2005,18.4,2014,0
"151","ANN08","6191",7,2012,7.2,2014,0.2
"152","ANN08","3062",9.1,2004,9.9,2014,0.800000000000001
"153","ANN08","5293",14.2,2006,13.3,2014,-0.899999999999999
"154","ANN08","3061",18.1,2004,19.1,2014,1
"155","ANN08","119",18.9,2004,23.5,2014,4.6
"156","ANN09","3065",16,2004,17.8,2014,1.8
"157","ANN09","3064",28.3,2004,31.3,2014,3
"158","ANN09","5209",10.2,2006,14.2,2014,4
"159","ANN09","1128",18.3,2004,20.1,2014,1.8
"160","ANN09","1494",10.7,2005,11.6,2014,0.9
"161","ANN09","1125",25.6,2005,21.5,2014,-4.1
"162","ANN09","1126",10.8,2005,8.3,2014,-2.5
"163","ANN09","1127",17.6,2005,20.5,2014,2.9
"164","ANN09","2584",30,2011,38,2014,8
"165","ANN09","7791",NA,NA,6.5,2014,NA
"166","ANN09","3063",21.7,2004,25.5,2014,3.8
"167","ANN09","1124",48.5,2005,50.8,2014,2.3
"168","ANN10","1990",1.1,2005,6.5,2014,5.4
"169","ANN10","3085",10.2,2004,13.9,2014,3.7
"170","ANN10","3083",3.6,2004,6.3,2014,2.7
"171","ANN10","3082",29.5,2004,31.5,2014,2
"172","ANN10","3081",1.8,2004,4.6,2014,2.8
"173","ANN10","3080",24.9,2004,33.4,2014,8.5
"174","ANN10","7796",NA,NA,9,2014,NA
"175","ANN10","3084",5,2004,5,2014,0
"176","ANN10","1131",23,2005,34,2014,11
"177","ANN10","1991",2.3,2005,10.2,2014,7.9
"178","ANN10","6701",6.8,2012,7.6,2014,0.8
"179","ANN10","1992",1.3,2005,8.6,2014,7.3
"180","ANN10","1993",1.2,2005,6.2,2014,5
"181","ANN10","1129",18.4,2005,26.6,2014,8.2
"182","ANN11","4742",6.6,2006,6.4,2014,-0.199999999999999
"183","ANN11","3073",2.5,2004,2.9,2014,0.4
"184","ANN11","1132",20.5,2005,22.9,2014,2.4
"185","ANN12","823",7.75,2004,8.2,2014,0.449999999999999
"186","ANN12","5655",11.6,2012,11.7,2014,0.0999999999999996
"187","ANN12","5283",4.8,2012,5.3,2014,0.5
"188","ANN12","856",8.5,2004,8.6,2014,0.0999999999999996
"189","ANN12","876",10.25,2004,9.7,2014,-0.550000000000001
"190","ANN12","4791",2.5,2007,3.3,2014,0.8
"191","ANN12","877",19,2004,19,2014,0
"192","ANN12","5698",2.2,2012,2.3,2014,0.0999999999999996
"193","ANN12","4772",3.5,2007,6.2,2014,2.7
"194","ANN12","899",21.25,2004,25.2,2014,3.95
"195","ANN12","824",22.5,2004,28.1,2014,5.6
"196","ANN12","830",22,2004,15.6,2014,-6.4
"197","ANN12","837",11.5,2004,12.4,2014,0.9
"198","ANN12","843",9,2004,8.5,2014,-0.5
"199","ANN12","811",11.5,2004,9,2014,-2.5
"200","ANN13","2263",47.4,2004,47.4,2014,0
"201","ANN13","979",18.2,2004,19.2,2014,1
"202","ANN13","980",15.3,2004,13.9,2014,-1.4
"203","ANN13","6186",10.7,2012,11,2014,0.300000000000001
"204","ANN13","994",14.1,2004,14,2014,-0.0999999999999996
"205","ANN13","846",16.2,2004,16.5,2014,0.300000000000001
"206","ANN13","922",21.3,2004,23.1,2014,1.8
"207","ANN14","2264",17.4,2004,18.7,2014,1.3
"208","ANN14","932",9.4,2004,10.2,2014,0.799999999999999
"209","ANN14","5292",32.5,2006,10.7,2014,-21.8
"210","ANN14","833",12.5,2004,10.8,2014,-1.7
"211","ANN14","983",9.1,2004,9.2,2014,0.0999999999999996
"212","ANN14","5290",17.8,2011,19.3,2014,1.5
"213","ANN14","947",11.8,2004,10.3,2014,-1.5
"214","ANN14","997",8.2,2004,8,2014,-0.199999999999999
"215","ANN15","4528",10.2,2004,7.2,2014,-3
"216","ANN15","934",8.8,2004,9,2014,0.199999999999999
"217","ANN15","2267",5.8,2004,5.8,2014,0
"218","ANN15","333",7.2,2004,7.4,2014,0.2
"219","ANN15","880",9,2004,9,2014,0
"220","ANN15","891",8.9,2004,10,2014,1.1
"221","ANN15","839",6.5,2004,10.1,2014,3.6
"222","ANN15","2273",4.2,2004,7.6,2014,3.4
"223","ANN15","2272",6,2004,5.3,2014,-0.7
"224","ANN15","2271",6,2004,5.6,2014,-0.4
"225","ANN15","4527",7.3,2004,8.1,2014,0.8
"226","ANN15","2268",5,2004,4.6,2014,-0.4
"227","ANN15","2266",6.1,2004,9,2014,2.9
"228","ANN15","952",6.4,2004,6.3,2014,-0.100000000000001
"229","ANN15","4529",9.2,2004,9.2,2014,0
"230","ANN15","984",3.8,2004,4.5,2014,0.7
"231","ANN15","2265",4.8,2004,4.2,2014,-0.6
"232","ANN15","2269",4.9,2004,5,2014,0.0999999999999996
"233","ANN15","4526",8.5,2004,8.4,2014,-0.0999999999999996
"234","ANN15","977",15.5,2004,16.5,2014,1
"235","ANN15","4525",7.5,2004,8.2,2014,0.699999999999999
"236","ANN15","835",11,2004,10.4,2014,-0.6
"237","ANN15","958",12.4,2004,12.5,2014,0.0999999999999996
"238","ANN15","960",7,2004,8.3,2014,1.3
"239","ANN15","4508",9.1,2004,9.6,2014,0.5
"240","ANN17","3052",21.5,2004,25.1,2014,3.6
"241","ANN17","3053",15.1,2004,16.7,2014,1.6
"242","ANN17","3051",5.3,2004,8.6,2014,3.3
"243","ANN17","1261",24.2,2005,26.8,2014,2.6
"244","ANN17","3050",14.7,2004,16.8,2014,2.1
"245","ANN17","1260",30,2005,30.8,2014,0.800000000000001
"246","ANN18","2660",17.5,2004,18.6,2014,1.1
"247","ANN18","2661",7.3,2004,8.2,2014,0.899999999999999
"248","ANN18","1244",26.4,2005,25.5,2014,-0.899999999999999
"249","ANN18","6185",5,2012,5,2014,0
"250","ANN18","6079",14.4,2005,14.6,2014,0.199999999999999
"251","ANN18","2662",19.7,2004,19.5,2014,-0.199999999999999
"252","ANN19","1252",34,2004,37,2014,3
"253","ANN19","1253",28,2005,30.2,2014,2.2
"254","ANN19","3072",30.4,2004,32,2014,1.6
"255","ANN19","3071",11,2004,13.5,2014,2.5
"256","ANN20","1249",46.8,2005,47.7,2014,0.900000000000006
"257","ANN20","1247",23.3,2005,23.2,2014,-0.100000000000001
"258","ANN20","1246",22.3,2005,21,2014,-1.3
"259","ANN20","3069",30.8,2004,34.8,2014,4
"260","ANN20","1248",30.6,2005,29.5,2014,-1.1
"261","ANN21","2655",22.7,2004,23.8,2014,1.1
"262","ANN21","1240",38.4,2005,32,2014,-6.4
"263","ANN21","2659",6.7,2004,10.2,2014,3.5
"264","ANN21","1243",5.6,2004,12.9,2014,7.3
"265","ANN21","1242",13,2004,15.2,2014,2.2
"266","ANN21","3031",13.7,2004,16,2014,2.3
"267","ANN21","2657",11.4,2004,13.5,2014,2.1
"268","ANN21","1241",7.1,2004,9.1,2014,2
"269","ANN21","1239",44.9,2005,46.5,2014,1.6
"270","ANN21","1238",40.8,2005,41.2,2014,0.400000000000006
"271","ANN21","2656",8.5,2004,10.5,2014,2
"272","ANN22","3035",31.2,2004,34.3,2014,3.1
"273","ANN22","4819",2.8,2012,3.3,2014,0.5
"274","ANN22","2170",39.6,2004,31,2014,-8.6
"275","ANN22","2169",23,2004,28.1,2014,5.1
"276","ANN22","2168",29,2004,21,2014,-8
"277","ANN22","3034",23.4,2004,26.5,2014,3.1
"278","ANN22","2167",46.7,2004,44,2014,-2.7
"279","ANN22","3043",13.5,2004,18.5,2014,5
"280","ANN22","3042",8.1,2004,11.7,2014,3.6
"281","ANN22","3041",6.1,2004,10.2,2014,4.1
"282","ANN22","3040",10.8,2004,11.7,2014,0.899999999999999
"283","ANN22","3039",41.2,2004,46.4,2014,5.2
"284","ANN22","3038",12.6,2004,15.8,2014,3.2
"285","ANN22","3037",31.3,2004,36.1,2014,4.8
"286","ANN22","3036",25.5,2004,28.5,2014,3
"287","ANN22","2166",73.3,2004,81,2014,7.7
"288","ANN22","3044",41.8,2004,48.7,2014,6.90000000000001
"289","ANN23","4703",2,2007,2,2014,0
"290","ANN23","6187",2.6,2012,2.8,2014,0.2
"291","ANN23","1161",55.5,2005,54.8,2014,-0.700000000000003
"292","ANN24","3032",16.7,2004,17.2,2014,0.5
"293","ANN24","1160",18.8,2005,17,2014,-1.8
"294","ANN24","2667",14.1,2004,14.2,2014,0.0999999999999996
"295","ANN24","2666",13.7,2004,14.5,2014,0.800000000000001
"296","ANN24","3033",34.6,2004,40.5,2014,5.9
"297","ANN24","2665",27,2004,29,2014,2
"298","ANN24","2664",20.7,2004,23.7,2014,3
"299","ANN24","2663",13.8,2004,12.4,2014,-1.4
"300","ANN24","1418",7.7,2004,8.7,2014,0.999999999999999
"301","ANN25","3046",12,2004,15.5,2014,3.5
"302","ANN25","3047",10.2,2004,14.2,2014,4
"303","ANN25","3049",7.1,2004,7.8,2014,0.7
"304","ANN25","3048",12.5,2004,14.4,2014,1.9
"305","ANN25","5297",4.8,2012,8.1,2014,3.3
"306","ANN25","1154",18,2005,19,2014,1
"307","ANN25","3045",15.8,2004,16.5,2014,0.699999999999999
"308","ANN25","1158",17.2,2005,18.4,2014,1.2
"309","ANN25","1157",14,2005,14.9,2014,0.9
"310","ANN25","1155",17.1,2005,14,2014,-3.1
"311","ANN25","1153",15,2005,15.7,2014,0.699999999999999
"312","ANN25","1152",15.9,2005,17.9,2014,2
"313","ANN25","5298",2.8,2012,2.9,2014,0.1
"314","ANN25","1156",18.8,2005,24,2014,5.2
"315","ANN27","3025",18,2004,19.5,2014,1.5
"316","ANN27","3027",8,2004,10.8,2014,2.8
"317","ANN27","3028",14.3,2004,15.3,2014,1
"318","ANN27","3026",13.8,2004,15.1,2014,1.3
"319","ANN29","2482",6.3,2004,6.4,2014,0.100000000000001
"320","ANN29","1182",28.3,2005,31.2,2014,2.9
"321","ANN29","1181",22.1,2005,23.7,2014,1.6
"322","ANN29","1180",27,2005,25.5,2014,-1.5
"323","ANN29","1179",16.4,2005,16.5,2014,0.100000000000001
"324","ANN29","1178",27.7,2005,31.1,2014,3.4
"325","ANN29","1177",28.2,2005,28,2014,-0.199999999999999
"326","ANN29","2483",44.3,2004,48.4,2014,4.1
"327","ANN29","2481",11.6,2004,12.9,2014,1.3
"328","ANN29","2487",41.5,2004,45.5,2014,4
"329","ANN29","1176",29.5,2005,30.9,2014,1.4
"330","ANN29","2485",41,2004,42.8,2014,1.8
"331","ANN29","1427",8,2004,10,2014,2
"332","ANN29","2488",7.3,2004,8.9,2014,1.6
"333","ANN29","2489",55,2004,57,2014,2
"334","ANN29","2484",36,2004,37.3,2014,1.3
"335","ANN30","1419",12.9,2005,12.7,2014,-0.200000000000001
"336","ANN30","1165",14.9,2005,12.4,2014,-2.5
"337","ANN30","1163",13.9,2005,11,2014,-2.9
"338","ANN30","1162",15.6,2005,17.3,2014,1.7
"339","ANN30","1423",14.2,2005,14.4,2014,0.200000000000001
"340","ANN30","1422",15.1,2005,16.4,2014,1.3
"341","ANN30","2647",6.2,2004,10.2,2014,4
"342","ANN30","1420",15.6,2005,15.8,2014,0.200000000000001
"343","ANN30","4705",14,2007,20,2014,6
"344","ANN30","1166",16.8,2005,19,2014,2.2
"345","ANN30","1170",18.5,2005,19.5,2014,1
"346","ANN30","6726",NA,NA,4.2,2014,NA
"347","ANN30","4706",9,2007,16.2,2014,7.2
"348","ANN30","4704",16,2007,15,2014,-1
"349","ANN30","1421",11.2,2005,11.2,2014,0
"350","ANN30","2648",17.2,2004,20,2014,2.8
"351","ANN30","1169",19.6,2005,21.3,2014,1.7
"352","ANN30","1171",17.5,2005,16.1,2014,-1.4
"353","ANN30","1172",28,2003,22.7,2014,-5.3
"354","ANN30","1173",26,2005,27.9,2014,1.9
"355","ANN30","1167",15.2,2005,16.5,2014,1.3
"356","ANN30","1168",24.9,2005,25.8,2014,0.900000000000002
"357","ANN31","5288",4.7,2011,4.9,2014,0.2
"358","ANN31","3030",25.7,2004,29.5,2014,3.8
"359","ANN31","2646",27.2,2004,27.3,2014,0.100000000000001
"360","ANN31","2645",33.4,2004,34.7,2014,1.3
"361","ANN31","3029",28.9,2004,32.7,2014,3.8
"362","ANN31","3002",20.6,2004,23.8,2014,3.2
"363","ANN31","5263",4.3,2011,4.3,2014,0
"364","ANN31","1426",20.6,2004,21.9,2014,1.3
"365","ANN31","1175",3.6,2005,4.1,2014,0.5
"366","ANN31","1174",12,2005,12.2,2014,0.199999999999999
"367","ANN32","2469",14.7,2004,16.3,2014,1.6
"368","ANN32","2470",18,2004,19.6,2014,1.6
"369","ANN32","1204",6.2,2004,7.2,2014,1
"370","ANN32","2471",21.5,2004,22.8,2014,1.3
"371","ANN32","1201",18.3,2005,18.3,2014,0
"372","ANN32","2478",22.8,2004,25.6,2014,2.8
"373","ANN32","1202",19.9,2005,19.3,2014,-0.599999999999998
"374","ANN32","1203",19.3,2005,16,2014,-3.3
"375","ANN32","1186",11.5,2005,10,2014,-1.5
"376","ANN32","2472",2,2004,3,2014,1
"377","ANN32","2473",4,2004,4.1,2014,0.0999999999999996
"378","ANN32","2474",17.5,2004,19.5,2014,2
"379","ANN32","2475",22.8,2004,24.6,2014,1.8
"380","ANN32","2477",21.1,2004,24.3,2014,3.2
"381","ANN32","2479",8.6,2004,9.5,2014,0.9
"382","ANN32","2480",11.5,2004,12.2,2014,0.699999999999999
"383","ANN32","6081",10.6,2005,11,2014,0.4
"384","ANN32","6082",19.3,2005,21.2,2014,1.9
"385","ANN32","7797",NA,NA,4.9,2014,NA
"386","ANN32","1185",15.9,2005,16.1,2014,0.200000000000001
"387","ANN32","1184",13.9,2005,13,2014,-0.9
"388","ANN32","1183",23.1,2005,24.1,2014,1
"389","ANN32","2476",9.7,2004,9.5,2014,-0.199999999999999
"390","ANN33","2495",13.2,2004,14.7,2014,1.5
"391","ANN33","3013",15.8,2004,16.8,2014,1
"392","ANN33","6094",10,2005,9.9,2014,-0.0999999999999996
"393","ANN33","6095",9.2,2005,9.6,2014,0.4
"394","ANN33","6093",2.1,2005,2,2014,-0.1
"395","ANN33","6092",9.2,2005,9.3,2014,0.100000000000001
"396","ANN33","3023",11,2004,10.8,2014,-0.199999999999999
"397","ANN33","3022",16.5,2004,17.3,2014,0.800000000000001
"398","ANN33","3021",10.1,2004,10.2,2014,0.0999999999999996
"399","ANN33","3020",18.9,2004,20.4,2014,1.5
"400","ANN33","3019",11.2,2004,11.3,2014,0.100000000000001
"401","ANN33","3018",18.9,2004,19.9,2014,1
"402","ANN33","3017",12.3,2004,13,2014,0.699999999999999
"403","ANN33","3016",25,2004,26.7,2014,1.7
"404","ANN33","2493",12.7,2004,13.3,2014,0.600000000000001
"405","ANN33","3014",17,2004,18.7,2014,1.7
"406","ANN33","2494",11.3,2004,10.9,2014,-0.4
"407","ANN33","3011",13,2004,13.3,2014,0.300000000000001
"408","ANN33","3010",20.6,2004,23,2014,2.4
"409","ANN33","3009",11.9,2004,13.4,2014,1.5
"410","ANN33","3008",11.2,2004,11.4,2014,0.200000000000001
"411","ANN33","3006",30.9,2004,33.7,2014,2.8
"412","ANN33","3004",20.3,2004,23.3,2014,3
"413","ANN33","3003",13.8,2004,13.9,2014,0.0999999999999996
"414","ANN33","3001",20.1,2004,22.1,2014,2
"415","ANN33","2498",8,2004,8.2,2014,0.199999999999999
"416","ANN33","2497",19.2,2004,21.4,2014,2.2
"417","ANN33","2496",15.8,2004,17.1,2014,1.3
"418","ANN33","3005",11.3,2004,12.1,2014,0.799999999999999
"419","ANN33","3015",17.9,2004,18,2014,0.100000000000001
"420","ANN33","3024",4.7,2004,6.2,2014,1.5
"421","ANN33","3007",11.7,2004,12.3,2014,0.600000000000001
"422","ANN34","2453",6.6,2004,7,2014,0.4
"423","ANN34","2461",13.6,2004,13.5,2014,-0.0999999999999996
"424","ANN34","2454",18.1,2004,18.9,2014,0.799999999999997
"425","ANN34","2455",14.9,2004,15.5,2014,0.6
"426","ANN34","2456",12,2004,12.5,2014,0.5
"427","ANN34","6189",2.6,2012,2.6,2014,0
"428","ANN34","2457",14.8,2004,14.8,2014,0
"429","ANN34","2468",9.6,2004,9.5,2014,-0.0999999999999996
"430","ANN34","2466",25.7,2004,28,2014,2.3
"431","ANN34","2465",12.5,2004,13,2014,0.5
"432","ANN34","2464",11.7,2004,12.8,2014,1.1
"433","ANN34","2463",12.4,2004,12.6,2014,0.199999999999999
"434","ANN34","2462",15.3,2004,15.3,2014,0
"435","ANN34","2458",24,2004,25.1,2014,1.1
"436","ANN34","2459",30.2,2004,33.3,2014,3.1
"437","ANN34","2460",16.5,2004,16.6,2014,0.100000000000001
"438","ANN34","1255",9.2,2004,9.5,2014,0.300000000000001
"439","ANN34","5264",3.3,2011,3.6,2014,0.3
"440","ANN35","2490",16.2,2004,22.3,2014,6.1
"441","ANN35","2492",25.7,2004,26.8,2014,1.1
"442","ANN35","2491",18,2004,20.4,2014,2.4
"443","ANN36","6098",18.2,2005,17.8,2014,-0.399999999999999
"444","ANN36","3095",8.3,2004,9.5,2014,1.2
"445","ANN36","1139",20.6,2005,22.9,2014,2.3
"446","ANN36","1138",24.3,2005,28.1,2014,3.8
"447","ANN36","1137",19.7,2005,20.4,2014,0.699999999999999
"448","ANN36","3103",15.7,2004,19.6,2014,3.9
"449","ANN36","3102",8.5,2004,9.4,2014,0.9
"450","ANN36","3101",18.3,2004,19.1,2014,0.800000000000001
"451","ANN36","3100",16.3,2004,16.9,2014,0.599999999999998
"452","ANN36","1133",18.8,2005,20.8,2014,2
"453","ANN36","3098",13.4,2004,14.1,2014,0.699999999999999
"454","ANN36","1134",13,2005,13.5,2014,0.5
"455","ANN36","3094",4.4,2004,7.8,2014,3.4
"456","ANN36","3093",9,2004,9.1,2014,0.0999999999999996
"457","ANN36","3092",16.1,2004,19.2,2014,3.1
"458","ANN36","3091",32.6,2004,34.9,2014,2.3
"459","ANN36","1136",17.7,2005,19.9,2014,2.2
"460","ANN36","1135",12.5,2005,13,2014,0.5
"461","ANN36","3088",8.1,2004,9.5,2014,1.4
"462","ANN36","3099",11.3,2004,12.2,2014,0.899999999999999
"463","ANN36","3089",22.9,2004,25.5,2014,2.6
"464","ANN36","3087",12.1,2004,13.8,2014,1.7
"465","ANN36","6099",19.9,2005,19.2,2014,-0.699999999999999
"466","ANN36","3090",20.7,2004,22,2014,1.3
"467","ANN36","3086",21,2004,21.5,2014,0.5
"468","ANN37","3193",2.7,2004,2.9,2014,0.2
"469","ANN37","3194",18.5,2004,20.1,2014,1.6
"470","ANN37","6085",9.8,2005,10.5,2014,0.699999999999999
"471","ANN37","6086",12.2,2005,12.9,2014,0.700000000000001
"472","ANN37","6087",7.7,2005,8,2014,0.3
"473","ANN37","6089",14,2005,13.5,2014,-0.5
"474","ANN37","4752",2.8,2012,3.1,2014,0.3
"475","ANN37","6088",12.2,2005,13,2014,0.800000000000001
"476","ANN37","6091",18.4,2005,18,2014,-0.399999999999999
"477","ANN37","3198",20.9,2004,23.1,2014,2.2
"478","ANN37","3197",13.2,2004,14.3,2014,1.1
"479","ANN37","3196",8,2004,9.2,2014,1.2
"480","ANN37","6090",4.8,2005,4.7,2014,-0.0999999999999996
"481","ANN37","3191",8.2,2004,8.6,2014,0.4
"482","ANN37","3201",26.3,2004,28.5,2014,2.2
