"","plotid","pct_cvr","year"
"78","ann29",95.06,2011
"79","ann29",92.72,2014
"80","ann30",80.76,2006
"81","ann30",55.54,2011
"82","ann30",90.12,2014
"83","ann31",90.64,2006
"84","ann31",99.48,2011
"85","ann31",97.66,2014
"86","ann32",91.16,2006
"87","ann32",97.14,2011
"88","ann32",97.4,2014
"89","ann33",85.44,2006
"90","ann33",93.76,2011
"91","ann33",91.42,2014
"92","ann34",96.36,2006
"93","ann34",99.48,2011
"94","ann34",99.48,2014
"95","ann35",95.06,2006
"96","ann35",92.72,2011
"97","ann35",96.36,2014
"98","ann36",87,2006
"99","ann36",92.46,2011
"100","ann36",93.76,2014
"101","ann37",63.86,2006
"102","ann37",74.52,2011
"103","ann37",86.22,2014
"104","ann38",82.32,2006
"105","ann38",96.36,2011
"106","ann38",95.06,2014
"107","apgar01",97.92,2006
"108","apgar01",95.06,2011
"109","apgar01",97.92,2014
"110","arbit01",86.74,2006
"111","arbit01",94.54,2011
"112","arbit01",97.66,2014
"113","arbit02",86.22,2006
"114","arbit02",74.78,2011
"115","arbit02",73.48,2014
"116","arbit03",90.9,2006
"117","arbit03",98.44,2011
"118","arbit03",91.68,2014
"119","arbit04",93.24,2006
"120","arbit04",95.58,2011
"121","arbit04",94.28,2014
"122","arbit05",65.94,2006
"123","arbit05",91.68,2011
"124","arbit05",90.12,2014
"125","athea02",79.98,2006
"126","athea02",96.36,2011
"127","athea02",98.18,2014
"128","backm02",93.5,2006
"129","backm02",91.42,2011
"130","backm02",90.64,2014
"131","backm03",98.18,2006
"132","backm03",97.92,2011
"133","backm03",98.44,2014
"134","backm04",90.9,2006
"135","backm04",91.16,2011
"136","backm04",86.22,2014
"137","backm05",88.82,2006
"138","backm05",90.38,2011
"139","backm05",93.76,2014
"140","badge01",95.32,2006
"141","badge01",88.3,2011
"142","badge01",91.42,2014
"143","belta01",98.96,2006
"144","belta01",97.4,2011
"145","belta01",95.84,2014
"146","belta02",86.74,2006
"147","belta02",94.8,2011
"148","belta02",93.76,2014
"149","belta03",89.08,2006
"150","belta03",94.28,2011
"151","belta03",94.54,2014
"152","belta04",91.16,2006
"153","belta04",97.4,2011
"154","belta04",95.58,2014
"155","belta07",95.06,2006
"156","belta07",81.54,2011
"157","belta07",95.58,2014
"158","belta08",88.04,2006
"159","belta08",96.88,2011
"160","belta08",96.88,2014
"161","berge01",94.02,2006
"162","berge01",96.1,2011
"163","berge01",91.68,2014
"164","bouv01",94.54,2004
"165","bouv01",99.22,2006
"166","bouv01",97.14,2011
"167","bouv01",94.54,2014
"168","bouv02",99.22,2006
"169","bouv02",98.44,2011
"170","bouv02",96.62,2014
"171","bouv03",91.42,2006
"172","bouv03",96.36,2011
"173","bouv03",95.58,2014
"174","bouv09",98.44,2006
"175","bouv09",93.5,2011
"176","bouv09",94.28,2014
"177","bowes01",78.42,2006
"178","bowes01",92.2,2011
"179","bowes01",91.16,2014
"180","bowes02",92.72,2006
"181","bowes02",89.6,2011
"182","bowes02",90.64,2014
"183","bowes03",91.42,2006
"184","bowes03",82.84,2011
"185","bowes03",90.12,2014
"186","cochr01",72.96,2006
"187","cochr01",80.24,2011
"188","cochr01",85.18,2014
"189","cook01",95.06,2006
"190","cook01",91.16,2011
"191","cook01",95.06,2014
"192","cook02",55.02,2006
"193","cook02",86.22,2011
"194","cook02",85.44,2014
"195","doman01",43.58,2006
"196","doman01",81.54,2011
"197","doman01",88.04,2014
"198","eliot01",93.5,2006
"199","eliot01",88.56,2011
"200","eliot01",91.94,2014
"201","ferra01",88.04,2006
"202","ferra01",92.98,2011
"203","ferra01",97.14,2014
"204","fop04",85.44,2006
"205","fop04",92.98,2011
"206","fop04",94.02,2014
"207","fop324",80.24,2006
"208","fop324",88.04,2011
"209","fop333",82.58,2006
"210","fop333",81.02,2011
"211","fop333",94.54,2014
"212","fop340",88.04,2006
"213","fop340",92.98,2011
"214","fop340",98.44,2014
"215","fride01",72.44,2006
"216","fride01",87.52,2011
"217","fride01",91.94,2014
"218","ganay01",78.16,2006
"219","ganay01",96.36,2011
"220","ganay01",97.4,2014
"221","ganay02",95.06,2006
"222","ganay02",97.92,2011
"223","ganay02",98.18,2014
"224","gard01",100,2006
"225","gard01",96.36,2011
"226","gard01",97.4,2014
"227","hallo01",77.64,2006
"228","hallo01",98.96,2011
"229","hallo01",99.74,2014
"230","halow02",91.42,2006
"231","halow02",97.4,2011
"232","halow02",96.62,2014
"233","hood01",87.78,2006
"234","hood01",89.34,2011
"235","hood01",97.4,2014
"236","hood02",89.6,2006
"237","hood02",93.24,2011
"238","hood02",96.36,2014
"239","hood03",92.72,2006
"240","hood03",97.14,2011
"241","hood03",98.18,2014
"242","hood04",94.8,2006
"243","hood04",96.1,2011
"244","hood04",96.88,2014
"245","hood05",93.5,2006
"246","hood05",94.02,2011
"247","hood05",97.4,2014
"248","hood07",96.62,2006
"249","hood07",96.1,2011
"250","hood07",91.68,2014
"251","jlsp01",67.5,2006
"252","jlsp01",79.46,2011
"253","jlsp01",97.92,2014
"254","jlsp02",74.26,2006
"255","jlsp02",84.92,2011
"256","jlsp02",92.72,2014
"257","jlsp03",92.46,2006
"258","jlsp03",88.3,2011
"259","jlsp03",98.18,2014
"260","jlsp04",87.52,2006
"261","jlsp04",95.58,2011
"262","jlsp04",97.92,2014
"263","jlsp05",90.38,2006
"264","jlsp05",98.18,2011
"265","jlsp05",92.46,2014
"266","jlsp06",87.26,2006
"267","jlsp06",93.5,2011
"268","jlsp06",94.54,2014
"269","jlsp07",86.74,2006
"270","jlsp07",82.84,2011
"271","jlsp07",77.12,2014
"272","jlsp08",91.94,2006
"273","jlsp08",99.22,2011
"274","jlsp08",99.22,2014
"275","jlsp10",79.98,2006
"276","jlsp10",97.14,2011
"277","jlsp10",97.4,2014
"278","jlsp13",90.9,2006
"279","jlsp13",99.22,2011
"280","jlsp13",97.66,2014
"281","jlsp14",64.12,2006
"282","jlsp14",93.24,2011
"283","jlsp14",90.38,2014
"284","jlsp15",87.52,2006
"285","jlsp15",93.24,2011
"286","jlsp15",97.66,2014
"287","jlsp16",88.56,2006
"288","jlsp16",98.96,2011
"289","jlsp16",94.28,2014
"290","jlsp17",79.2,2006
"291","jlsp17",97.14,2011
"292","jlsp17",95.06,2014
"293","johns01",89.08,2006
"294","johns01",97.4,2011
"295","johns01",97.14,2014
"296","johns02",99.74,2006
"297","johns02",98.7,2011
"298","johns02",98.96,2014
"299","jroth01",82.06,2006
"300","jroth01",77.38,2011
"301","jroth01",93.76,2014
"302","jroth02",63.6,2011
"303","jroth02",90.64,2014
"304","jroth03",82.58,2006
"305","jroth03",81.54,2011
"306","jroth03",95.58,2014
"307","jroth04",30.58,2006
"308","jroth04",71.4,2011
"309","jroth04",81.28,2014
"310","jroth05",77.64,2006
"311","jroth05",94.02,2011
"312","jroth05",91.68,2014
"313","klass01",75.56,2006
"314","klass01",65.16,2011
"315","klass01",90.9,2014
"316","klass02",88.3,2006
"317","klass02",89.08,2011
"318","klass02",96.1,2014
"319","kunde01",79.2,2006
"320","kunde01",88.04,2011
"321","kunde01",78.68,2014
"322","kunde02",90.38,2006
"323","kunde02",91.68,2011
"324","kunde02",92.2,2014
"325","kunde03",34.22,2006
"326","kunde03",64.12,2011
"327","kunde03",68.28,2014
"328","kunde04",52.42,2006
"329","kunde04",70.1,2011
"330","lars01",85.96,2006
"331","lars01",83.1,2011
"332","lars01",94.02,2014
"333","lazy04",91.42,2006
"334","lazy04",97.4,2011
"335","lazy04",96.1,2014
"336","lazy05",78.16,2006
"337","lazy05",86.48,2011
"338","lazy05",89.34,2014
"339","lins01",98.7,2006
"340","lins01",84.14,2011
"341","lins01",84.14,2014
"342","lupin01",95.58,2006
"343","lupin01",51.12,2011
"344","lupin01",57.88,2014
"345","macki01",71.14,2006
"346","macki01",88.3,2011
"347","macki01",79.98,2014
"348","mccor01",96.62,2006
"349","mccor01",98.44,2011
"350","mccor01",96.88,2014
"351","mccor02",93.5,2006
"352","mccor02",94.54,2011
"353","mccor02",91.16,2014
"354","mccor05",87.78,2006
"355","mccor05",85.7,2011
"356","mccor05",92.72,2014
"357","mcneil01",78.94,2006
"358","mcneil03",47.22,2006
"359","mcneil03",80.24,2011
"360","mesch01",85.96,2006
"361","mesch01",98.18,2011
"362","mesch01",97.66,2014
"363","mitsu01",87.26,2006
"364","mitsu01",93.24,2011
"365","mitsu01",98.44,2014
"366","mitsu02",63.34,2006
"367","mitsu02",66.46,2011
"368","mitsu02",92.98,2014
"369","mitsu03",91.94,2006
"370","mitsu03",99.22,2011
"371","mitsu03",98.96,2014
"372","mitsu04",63.6,2006
"373","mitsu04",75.56,2011
"374","mitsu04",95.32,2014
"375","morel01",91.94,2006
"376","morel01",98.7,2011
"377","morel01",93.5,2014
"378","morel02",96.36,2006
"379","morel02",97.14,2011
"380","morel02",89.6,2014
"381","mroth01",90.38,2006
"382","mroth01",98.18,2011
"383","mroth01",98.7,2014
"384","mroth02",84.14,2006
"385","mroth02",97.14,2011
"386","mroth02",98.18,2014
"387","mroth03",81.28,2006
"388","mroth03",94.54,2011
"389","mroth03",97.66,2014
"390","mutte01",82.58,2006
"391","mutte01",92.2,2011
"392","mutte01",91.16,2014
"393","mutte02",82.32,2006
"394","mutte02",92.98,2011
"395","mutte02",98.96,2014
"396","nelso01",94.28,2006
"397","nelso01",87.52,2011
"398","nelso01",96.62,2014
"399","nelso02",82.32,2006
"400","nelso02",79.2,2011
"401","nelso02",95.58,2014
"402","otell01",62.82,2006
"403","otell01",95.06,2011
"404","otell01",93.24,2014
"405","pardi01",97.14,2006
"406","pardi01",96.1,2011
"407","pardi01",98.44,2014
"408","parso01",54.24,2006
"409","parso01",40.2,2011
"410","parso01",62.3,2014
"411","peter01",91.68,2006
"412","peter01",98.44,2011
"413","peter01",96.88,2014
"414","petsn01",99.74,2006
"415","petsn01",96.1,2011
"416","petsn01",96.1,2014
"417","petsn02",97.92,2006
"418","petsn02",94.8,2011
"419","petsn02",93.24,2014
"420","pfend01",88.56,2006
"421","pfend01",95.32,2011
"422","pfend01",93.5,2014
"423","pfend02",94.02,2006
"424","pfend02",99.22,2011
"425","pfend02",95.84,2014
"426","phill01",58.66,2006
"427","phill01",89.86,2011
"428","phill01",94.8,2014
"429","phill02",84.92,2006
"430","phill02",91.68,2011
"431","phill02",91.16,2014
"432","ponti02",89.08,2006
"433","ponti02",98.96,2011
"434","ponti02",99.48,2014
"435","redde01",63.34,2006
"436","redde01",72.7,2011
"437","redde01",84.14,2014
"438","redde02",47.48,2006
"439","redde02",70.62,2011
"440","redde02",91.42,2014
"441","sawi01",90.38,2006
"442","sawi01",94.54,2012
"443","sawi01",98.96,2014
"444","schiek01",94.54,2006
"445","schiek01",97.14,2011
"446","schiek01",90.38,2014
"447","schiek02",88.3,2006
"448","schiek02",95.58,2011
"449","schiek02",92.46,2014
"450","sdc01",87.26,2006
"451","sdc01",98.96,2011
"452","sdc01",97.14,2014
"453","sdc02",89.34,2006
"454","sdc02",95.58,2011
"455","sdc02",95.06,2014
"456","sdc03",75.56,2006
"457","sdc03",83.1,2011
"458","sdc03",88.82,2014
"459","sdc04",75.04,2006
"460","sdc04",85.18,2011
"461","sdc04",86.48,2014
"462","sdc05",74,2006
"463","sdc05",83.1,2011
"464","sdc05",80.76,2014
"465","sdc06",49.56,2006
"466","sdc06",87.78,2011
"467","sdc06",85.7,2014
"468","secret01",91.16,2006
"469","secret01",96.36,2011
"470","secret01",96.62,2014
"471","secret02",97.14,2006
"472","secret02",94.28,2011
"473","secret02",94.02,2014
"474","secret03",99.74,2006
"475","secret03",95.84,2011
"476","secret03",91.94,2014
"477","skile01",66.98,2006
"478","skile01",97.4,2011
"479","skile01",94.8,2014
"480","spaul01",97.66,2006
"481","spaul01",91.42,2011
"482","spaul01",91.42,2014
"483","spaul02",81.28,2006
"484","spaul02",90.38,2011
"485","spaul02",95.06,2014
"486","spivy01",93.24,2006
"487","spivy01",92.98,2011
"488","spivy01",93.76,2014
"489","state123",88.3,2006
"490","state123",82.58,2011
"491","state123",94.8,2014
"492","sugar01",87.26,2006
"493","sugar01",96.1,2011
"494","sugar01",92.46,2014
"495","sugar04",80.5,2006
"496","sugar04",96.36,2011
"497","sugar04",92.2,2014
"498","sugar05",57.1,2006
"499","sugar05",73.48,2011
"500","sugar05",61.26,2014
"501","sugar07",68.8,2006
"502","sugar07",91.16,2012
"503","sugar07",95.32,2014
"504","sugar08",92.2,2006
"505","sugar08",98.18,2011
"506","sugar08",89.08,2014
"507","sugar09",81.54,2006
"508","sugar09",84.66,2011
"509","sugar09",59.96,2014
"510","sugar11",71.4,2006
"511","sugar11",92.98,2011
"512","sugar11",95.06,2014
"513","sugar12",82.84,2006
"514","sugar12",94.02,2011
"515","sugar12",90.12,2014
"516","sugar13",91.94,2006
"517","sugar13",96.62,2011
"518","sugar13",98.96,2014
"519","sugar15",98.18,2006
"520","sugar15",89.34,2011
"521","sugar15",87.52,2014
"522","sugar16",82.58,2006
"523","sugar16",81.54,2011
"524","sugar16",83.62,2014
"525","sugar17",83.36,2006
"526","sugar17",95.84,2011
"527","sugar17",88.04,2014
"528","sugar18",87.52,2006
"529","sugar18",97.66,2011
"530","sugar18",97.92,2014
"531","sugar19",85.18,2006
"532","sugar19",98.44,2011
"533","sugar19",95.32,2014
"534","sugar21",92.46,2006
"535","sugar21",97.4,2011
"536","sugar21",96.88,2014
"537","sugar23",91.94,2006
"538","sugar23",96.88,2011
"539","sugar23",94.02,2014
"540","sugar24",51.12,2006
"541","sugar24",88.82,2011
"542","sugar24",96.88,2014
"543","sugar30",47.22,2006
"544","sugar30",94.8,2011
"545","sugar30",82.32,2014
"546","sugar31",69.58,2006
"547","sugar31",95.84,2011
"548","sugar31",87,2014
"549","sugar32",51.38,2006
"550","sugar32",77.9,2011
"551","sugar32",69.32,2014
"552","sumtv01",83.36,2006
"553","sumtv01",96.1,2011
"554","sumtv01",91.16,2014
"555","sumtv02",89.86,2006
"556","svrp01",90.12,2006
"557","svrp01",96.36,2011
"558","svrp01",88.3,2014
"559","svrp02",88.82,2006
"560","svrp02",96.36,2011
"561","svrp02",93.76,2014
"562","tell02",72.96,2006
"563","tell02",86.22,2011
"564","tell02",93.24,2014
"565","tell03",61.52,2006
"566","tell03",75.56,2011
"567","tell03",88.82,2014
"568","tell04",57.1,2006
"569","tell04",91.68,2011
"570","tell04",91.16,2014
"571","terri02",94.54,2006
"572","terri02",89.86,2011
"573","terri02",95.06,2014
"574","terri03",78.16,2006
"575","terri03",87.78,2011
"576","terri03",92.72,2014
"577","votru01",91.68,2006
"578","votru01",97.14,2011
"579","watki01",87.52,2006
"580","watki01",91.68,2011
"581","watki01",92.72,2014
"582","yahng01",79.72,2006
"583","yahng01",67.76,2011
"584","yahng01",90.64,2014
"585","yahng02",83.1,2006
"586","yahng02",88.3,2011
"587","yahng02",85.18,2014
"588","yahng03",92.46,2006
"589","yahng03",98.7,2011
"590","yahng03",96.36,2014
"591","zen01",87.26,2006
"592","zen01",95.58,2011
"593","zen01",93.76,2014
"594","zen02",92.72,2006
"595","zen02",66.2,2011
"596","zen02",62.04,2014
